event_id,user_id,event_name,event_timestamp,event_source
1,1,signup,2025-12-16 20:07:00,ios
2,1,trial_started,2025-12-19 20:07:00,ios
3,2,signup,2025-12-15 06:14:00,ios
4,2,trial_started,2025-12-15 18:14:00,ios
5,2,subscription_expired,2025-12-29 18:14:00,ios
6,3,signup,2025-09-28 10:17:00,ios
7,3,trial_started,2025-09-28 21:17:00,ios
8,3,subscription_started,2025-10-12 21:17:00,ios
9,3,payment_success,2025-10-12 21:17:00,card
10,3,payment_failed,2025-11-11 21:17:00,card
11,3,payment_success,2025-12-11 21:17:00,google_pay
12,4,signup,2025-05-18 11:10:00,ios
13,4,trial_started,2025-05-23 14:10:00,ios
14,4,subscription_started,2025-06-06 14:10:00,ios
15,4,payment_success,2025-06-06 14:10:00,bank_transfer
16,4,payment_failed,2025-07-06 14:10:00,apple_pay
17,4,payment_success,2025-07-08 14:10:00,apple_pay
18,4,payment_success,2025-08-05 14:10:00,google_pay
19,4,payment_success,2025-09-04 14:10:00,crypto
20,4,payment_success,2025-10-04 14:10:00,card
21,4,payment_success,2025-11-03 14:10:00,card
22,4,payment_success,2025-12-03 14:10:00,card
23,5,signup,2025-03-13 05:50:00,android
24,5,trial_started,2025-03-13 15:50:00,android
25,5,subscription_expired,2025-03-27 15:50:00,android
26,6,signup,2025-07-08 17:48:00,ios
27,7,signup,2025-02-18 08:32:00,ios
28,7,trial_started,2025-02-20 20:32:00,ios
29,7,subscription_started,2025-03-06 20:32:00,ios
30,7,payment_success,2025-03-06 20:32:00,google_pay
31,8,signup,2025-05-05 09:15:00,web
32,8,support_contacted,2025-05-23 09:15:00,web
33,9,signup,2025-05-02 04:42:00,ios
34,9,support_contacted,2025-05-20 04:42:00,ios
35,9,trial_started,2025-05-07 07:42:00,ios
36,9,subscription_expired,2025-05-21 07:42:00,ios
37,10,signup,2025-08-03 21:41:00,android
38,10,support_contacted,2025-08-21 21:41:00,android
39,10,trial_started,2025-08-04 21:41:00,android
40,10,subscription_started,2025-08-18 21:41:00,android
41,10,payment_success,2025-08-18 21:41:00,card
42,10,subscription_canceled,2025-09-26 21:41:00,android
43,10,reactivated,2025-10-26 21:41:00,android
44,11,signup,2025-11-27 18:30:00,android
45,11,trial_started,2025-12-02 18:30:00,android
46,11,subscription_expired,2025-12-16 18:30:00,android
47,12,signup,2025-10-09 03:03:00,web
48,12,trial_started,2025-10-11 10:03:00,web
